"title","company","link"
"Data Science Intern","Grainger","https://nyu.joinhandshake.com/jobs/5835106?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Engineer Intern","Roku, Inc.","https://nyu.joinhandshake.com/jobs/5532799?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Air Tox","https://nyu.joinhandshake.com/jobs/5805668?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Indeed","https://nyu.joinhandshake.com/jobs/5348815?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern","Roku, Inc.","https://nyu.joinhandshake.com/jobs/5532829?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Engineer Intern","Amazon","https://nyu.joinhandshake.com/jobs/5064381?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Scientist - Internship","Two Sigma","https://nyu.joinhandshake.com/jobs/5500507?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data & Analytics Sumer Intern","Ascot Group","https://nyu.joinhandshake.com/jobs/5668827?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data & Analytics Marketing Intern","Biz2Credit","https://nyu.joinhandshake.com/jobs/5838319?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Internship (Graduate)","CVS Health","https://nyu.joinhandshake.com/jobs/5481051?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Market Data Developer Internship","Tradeweb","https://nyu.joinhandshake.com/jobs/5585910?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Statistical/Data Mining Analyst Internship","Technical Consulting and Research, Inc.…","https://nyu.joinhandshake.com/jobs/1237538?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Python Developer - Data Analytics","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5620187?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Developer Analyst – Data Services / Cloud","Instinet","https://nyu.joinhandshake.com/jobs/5732377?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Cell Data Internship (Summer 2022)","Tesla","https://nyu.joinhandshake.com/jobs/5743842?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Statistics & Data Science Research Intern","Nokia Bell Labs","https://nyu.joinhandshake.com/jobs/5548904?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern - H&B Data Analyst","Aon","https://nyu.joinhandshake.com/jobs/5506907?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Center Strategic Accounts Internship","Black Box Network Services","https://nyu.joinhandshake.com/jobs/5892383?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Analyst Intern - 2022 Summer","TikTok","https://nyu.joinhandshake.com/jobs/5375498?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Science Intern - Summer 2022","William Blair","https://nyu.joinhandshake.com/jobs/5690804?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Software Engineer - Data Platform","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5798644?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Data Scientist Intern - Summer 2022","MATRiX ANALYTiCS CORPORATION","https://nyu.joinhandshake.com/jobs/5428027?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Summer Associate, Innovation - Data & Technology","The Rockefeller Foundation","https://nyu.joinhandshake.com/jobs/5680869?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Intern, Quantitative Researcher - Data Scientist","Balyasny Asset Management","https://nyu.joinhandshake.com/jobs/5730015?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"Network Operations Data Analytics Intern","Spectrum","https://nyu.joinhandshake.com/jobs/5832194?ref=open-in-new-tab&search_id=c74d444e-b947-4c32-a32b-1a9d5152f75d"
"[Remote] Data Analytics Intern - Summer 2022","Bankers Healthcare Group","https://nyu.joinhandshake.com/jobs/5518269?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Summer Associate, Innovation - Data Science Ventures","The Rockefeller Foundation","https://nyu.joinhandshake.com/jobs/5680852?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Summer 2022 Data Science Intern - Remote","Voya Financial","https://nyu.joinhandshake.com/jobs/5884463?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
"Development Internship - Data Infrastructure Engineering, Summer 2022…","Akuna Capital","https://nyu.joinhandshake.com/jobs/4887116?ref=open-in-new-tab&search_id=5b9010a3-a99a-4128-89f2-0aa15e821ea8"
